"lat","lon","APN","SEQUENCE","RDNUM","RDPREDIR","RDPREFIX","RDNAME","RDSUFFIX","RDPOSTDIR","COMMUNITY","ADDRCOMB"
"-121.12613903034","40.0269066611013","002400012000","0","1400",,,"12 MILE BAR","RD",,"TWAIN","1400 12 MILE BAR RD"
"-121.128947012261","40.0269652918287","002400013000","0","1468",,,"12 MILE BAR","RD",,"TWAIN","1468 12 MILE BAR RD"
"-121.127466898034","40.0269433444614","002400014000","0","1448",,,"12 MILE BAR","RD",,"TWAIN","1448 12 MILE BAR RD"
"-120.396376363934","39.8233783463403","025480007000","1","79631",,"CORD","125",,,"BECKWOURTH","79631 CORD 125"
"-120.626098245329","39.786877950144","123140033000","0","66200",,"CORD","129",,,"BLAIRSDEN","66200 CORD 129"
"-120.623812754419","39.7877987976689","123300011000","0","66215",,"CORD","129",,,"BLAIRSDEN","66215 CORD 129"
"-121.082912391281","40.2788834730296","103040003000","0","7991",,"HIGHWAY","147",,,"HAMILTON BRANCH","7991 HIGHWAY 147"
"-121.086427085047","40.2721298265872","103060008000","0","7891",,"HIGHWAY","147",,,"HAMILTON BRANCH","7891 HIGHWAY 147"
"-121.088200762846","40.2676601323454","106010001000","0","7541",,"HIGHWAY","147",,,"EAST SHORE","7541 HIGHWAY 147"
"-121.087505208807","40.2647332995734","106010003000","0","7371",,"HIGHWAY","147",,,"EAST SHORE","7371 HIGHWAY 147"
"-121.084104778162","40.264873174107","106010004000","0","7398",,"HIGHWAY","147",,,"EAST SHORE","7398 HIGHWAY 147"
"-121.084699249502","40.2634597463916","106010005000","0","7194",,"HIGHWAY","147",,,"EAST SHORE","7194 HIGHWAY 147"
"-121.085703276221","40.2706476051196","106010011000","0","7844",,"HIGHWAY","147",,,"EAST SHORE","7844 HIGHWAY 147"
"-121.088469771701","40.2671061015085","106010013000","0","7533",,"HIGHWAY","147",,,"EAST SHORE","7533 HIGHWAY 147"
"-121.088389912989","40.2657287293412","106010014000","0","7457",,"HIGHWAY","147",,,"EAST SHORE","7457 HIGHWAY 147"
"-121.078217064789","40.249812716205","106020004000","0","6055",,"HIGHWAY","147",,,"EAST SHORE","6055 HIGHWAY 147"
"-121.076623651675","40.251421264326","106020025000","0","6166",,"HIGHWAY","147",,,"EAST SHORE","6166 HIGHWAY 147"
"-121.076660643552","40.2505300509608","106020026000","0","6116",,"HIGHWAY","147",,,"EAST SHORE","6116 HIGHWAY 147"
"-121.077074641733","40.2496776019281","106020027000","0","6056",,"HIGHWAY","147",,,"EAST SHORE","6056 HIGHWAY 147"
"-121.075784198043","40.2337158975091","106040001000","0","4976",,"HIGHWAY","147",,,"EAST SHORE","4976 HIGHWAY 147"
"-121.07591910858","40.2312711605048","106040003000","0","4843",,"HIGHWAY","147",,,"EAST SHORE","4843 HIGHWAY 147"
"-121.075936613539","40.2309965011926","106040004000","0","4815",,"HIGHWAY","147",,,"EAST SHORE","4815 HIGHWAY 147"
"-121.076186214962","40.2304374836548","106040005000","0","4767",,"HIGHWAY","147",,,"EAST SHORE","4767 HIGHWAY 147"
"-121.076343549442","40.229887149369","106040006000","0","4703",,"HIGHWAY","147",,,"EAST SHORE","4703 HIGHWAY 147"
"-121.075926034595","40.2252960166847","106040020000","0","4379",,"HIGHWAY","147",,,"EAST SHORE","4379 HIGHWAY 147"
"-121.075919273651","40.2242483794894","106040009000","0","4311",,"HIGHWAY","147",,,"EAST SHORE","4311 HIGHWAY 147"
"-121.07207026825","40.2225395998013","106040011000","0","4126",,"HIGHWAY","147",,,"EAST SHORE","4126 HIGHWAY 147"
"-121.075960335287","40.2319327696624","106040012000","0","4879",,"HIGHWAY","147",,,"EAST SHORE","4879 HIGHWAY 147"
"-121.075893742397","40.2316037582067","106040013000","0","4861",,"HIGHWAY","147",,,"EAST SHORE","4861 HIGHWAY 147"
"-121.074949555174","40.231277025824","106040014000","0","4830",,"HIGHWAY","147",,,"EAST SHORE","4830 HIGHWAY 147"
"-121.074608904626","40.2251591764282","106040016000","0","4356",,"HIGHWAY","147",,,"EAST SHORE","4356 HIGHWAY 147"
"-121.075802890234","40.2291361545688","106040017000","0","4788",,"HIGHWAY","147",,,"EAST SHORE","4788 HIGHWAY 147"
"-121.076116620434","40.2282135741642","106040018000","0","4686",,"HIGHWAY","147",,,"EAST SHORE","4686 HIGHWAY 147"
"-121.07606222391","40.2271352477232","106040019000","0","4592",,"HIGHWAY","147",,,"EAST SHORE","4592 HIGHWAY 147"
"-121.068384111739","40.2172707408794","106050001000","0","3668",,"HIGHWAY","147",,,"EAST SHORE","3668 HIGHWAY 147"
"-121.068384111739","40.2172707408794","106050001000","1","3696",,"HIGHWAY","147",,,"EAST SHORE","3696 HIGHWAY 147"
"-121.065031551025","40.2119400806691","106050002000","0","3140",,"HIGHWAY","147",,,"EAST SHORE","3140 HIGHWAY 147"
"-121.086316816964","40.2679219593964","106060002000","0","7546",,"HIGHWAY","147",,,"EAST SHORE","7546 HIGHWAY 147"
"-121.08622547957","40.2673592246171","106060003000","0","7500",,"HIGHWAY","147",,,"EAST SHORE","7500 HIGHWAY 147"
"-121.086161827374","40.2684847790498","106060004000","0","7640",,"HIGHWAY","147",,,"EAST SHORE","7640 HIGHWAY 147"
"-121.086125649501","40.2688246671448","106060005000","0","7680",,"HIGHWAY","147",,,"EAST SHORE","7680 HIGHWAY 147"
"-121.086268883881","40.2669674935506","106070001000","0","7478",,"HIGHWAY","147",,,"EAST SHORE","7478 HIGHWAY 147"
"-121.086195124573","40.2662000804386","106070003000","0","7420",,"HIGHWAY","147",,,"EAST SHORE","7420 HIGHWAY 147"
"-121.086141281109","40.2659462687806","106070004000","0","7400",,"HIGHWAY","147",,,"EAST SHORE","7400 HIGHWAY 147"
"-121.086072985524","40.2656942915863","106070005000","0","7380",,"HIGHWAY","147",,,"EAST SHORE","7380 HIGHWAY 147"
"-121.085783053537","40.2649542921148","106070007000","0","7322",,"HIGHWAY","147",,,"EAST SHORE","7322 HIGHWAY 147"
"-121.086234402671","40.2664552239998","106070008000","0","7434",,"HIGHWAY","147",,,"EAST SHORE","7434 HIGHWAY 147"
"-121.086259026817","40.2667111988962","106070009000","0","7448",,"HIGHWAY","147",,,"EAST SHORE","7448 HIGHWAY 147"
"-121.085893675997","40.265197816258","106070010000","0","7342",,"HIGHWAY","147",,,"EAST SHORE","7342 HIGHWAY 147"
"-121.085990391124","40.2654446445261","106070011000","0","7360",,"HIGHWAY","147",,,"EAST SHORE","7360 HIGHWAY 147"
"-121.087042699405","40.2645316937955","106081001000","0","7329",,"HIGHWAY","147",,,"EAST SHORE","7329 HIGHWAY 147"
"-121.086681985286","40.2642418732933","106081002000","0","7297",,"HIGHWAY","147",,,"EAST SHORE","7297 HIGHWAY 147"
"-121.086021278651","40.2636526543683","106081007000","0","7241",,"HIGHWAY","147",,,"EAST SHORE","7241 HIGHWAY 147"
"-121.086363804748","40.2639894371852","106081008000","0","7265",,"HIGHWAY","147",,,"EAST SHORE","7265 HIGHWAY 147"
"-121.086363804748","40.2639894371852","106081008000","1","7281",,"HIGHWAY","147",,,"EAST SHORE","7281 HIGHWAY 147"
"-121.085700706795","40.2633292166161","106081009000","0","7201",,"HIGHWAY","147",,,"EAST SHORE","7201 HIGHWAY 147"
"-121.085658825396","40.2647145509253","106082001000","0","7304",,"HIGHWAY","147",,,"EAST SHORE","7304 HIGHWAY 147"
"-121.085521408017","40.2644791021549","106082002000","0","7284",,"HIGHWAY","147",,,"EAST SHORE","7284 HIGHWAY 147"
"-121.08537142945","40.2642488010177","106082003000","0","7266",,"HIGHWAY","147",,,"EAST SHORE","7266 HIGHWAY 147"
"-121.085209512206","40.2640282720212","106082004000","0","7246",,"HIGHWAY","147",,,"EAST SHORE","7246 HIGHWAY 147"
"-121.085038414586","40.2638147522824","106082005000","0","7228",,"HIGHWAY","147",,,"EAST SHORE","7228 HIGHWAY 147"
"-121.084864066448","40.2636081018641","106082006000","0","7210",,"HIGHWAY","147",,,"EAST SHORE","7210 HIGHWAY 147"
